FIPS,State Name,State,2013 Food Insecurity Rate,# of Food Insecure Persons in 2013 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2013 Child Food Insecurity Rate,# of Food Insecure Children in 2013,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2013,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2013,2013 Cost Per Meal,2013 Weighted Annual Food Budget Shortfall
30,Montana,MT,14.2282289086011%,144440,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.8997507615619%,0%,33.1002492384381%,22.0784164446136%,49300,64%,36%,2.73,69699000
31,Nebraska,NE,13.2169058225886%,246960,130%,SNAP,185%,Other Nutrition Program,46.2018140589569%,14.5934564301911%,39.2006802721088%,21.0990272018361%,97080,66%,34%,2.63,115138000
32,Nevada,NV,15.8124908606606%,441190,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.1263627915411%,0%,24.8736372084589%,26.7056353557781%,176810,70%,30%,2.77,216105000
33,New Hampshire,NH,10.8201311865347%,143200,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",53.5474860335196%,0%,46.4525139664805%,15.014598020366%,42170,57%,43%,2.96,75067000
34,New Jersey,NJ,12.3801329514473%,1101750,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.0726117540277%,0%,35.9273882459723%,18.2855942634962%,374350,65%,35%,2.9,564887000
35,New Mexico,NM,17.3079293162044%,360920,165%,SNAP,185%,Other Nutrition Program,71.2734123905575%,5.85448298791976%,22.9413720492076%,28.2699264258041%,145280,76%,24%,2.66,170231000
36,New York,NY,13.9428135597516%,2739920,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.2751321206459%,0%,26.7248678793541%,21.8738253081611%,938610,69%,31%,2.86,1385728000
37,North Carolina,NC,18.2974108606162%,1801940,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.0379479893892%,0%,26.9620520106108%,26.0887325462242%,595240,73%,27%,2.73,870957000
38,North Dakota,ND,7.80073901738059%,56430,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.5022151337941%,0%,37.4977848662059%,10.9054514258975%,16780,58%,42%,2.75,27479000
39,Ohio,OH,16.869003443839%,1951880,130%,SNAP,185%,Other Nutrition Program,54.0120294280386%,13.4864848248868%,32.5076336660041%,24.2379301851462%,653410,69%,31%,2.56,885586000
40,Oklahoma,OK,17.0011281452503%,654640,130%,SNAP,185%,Other Nutrition Program,52.1294146401075%,16.8565929365758%,30.995661737749%,25.9782607533578%,242990,69%,31%,2.71,314445000
41,Oregon,OR,15.7513934247907%,619040,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",74.5153786508142%,0%,25.4846213491858%,25.9170949845063%,223480,69%,31%,2.77,303578000
42,Pennsylvania,PA,14.1591371276255%,1808660,160%,SNAP,185%,Other Nutrition Program,56.1819247398627%,7.63106388154766%,36.1914345427001%,20.4479093458147%,564440,67%,33%,2.79,892571000
44,Rhode Island,RI,14.4401722854064%,151840,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.822708113804%,0%,37.177291886196%,21.7250825953601%,47740,71%,29%,2.88,77449000
45,South Carolina,SC,17.0594233648506%,814560,130%,SNAP,185%,Other Nutrition Program,56.9080239638578%,17.480603024946%,25.5720879984286%,25.1659520126923%,271560,72%,28%,2.64,381318000
46,South Dakota,SD,12.4420477773688%,105120,130%,SNAP,185%,Other Nutrition Program,50.7990867579909%,14.2028158295282%,34.998097412481%,19.6100518657466%,40040,65%,35%,2.79,51928000
47,Tennessee,TN,17.0539370669051%,1107820,130%,SNAP,185%,Other Nutrition Program,56.1065877128053%,17.5660305825856%,26.3490458738784%,25.4415834367776%,379780,74%,26%,2.78,545632000
48,Texas,TX,17.5939808061746%,4653290,165%,SNAP,185%,Other Nutrition Program,64.513924556604%,5.48730038316976%,30.0054370133819%,27.4272235818873%,1899310,70%,30%,2.45,2019234000
49,Utah,UT,14.5963006985486%,423420,130%,SNAP,185%,Other Nutrition Program,46.625100373152%,17.2830759057201%,36.091823721128%,20.36725412166%,179130,60%,40%,2.63,197059000
50,Vermont,VT,13.5662193000654%,85010,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.8983648982473%,0%,36.1016351017527%,19.2116359501587%,24330,65%,35%,3.13,47139000
51,Virginia,VA,11.8959058302831%,982650,130%,SNAP,185%,Other Nutrition Program,49.4163740904697%,17.227904136773%,33.341474584033%,16.7784294730535%,311410,65%,35%,2.92,508665000
53,Washington,WA,14.6010718641261%,1017900,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.3309755378721%,0%,30.6690244621279%,23.1213325761878%,366450,65%,35%,2.83,509330000
54,West Virginia,WV,15.7741125511243%,292500,130%,SNAP,185%,Other Nutrition Program,51.9760683760684%,14.2358974358974%,33.8188034188034%,23.3355748085875%,89880,67%,33%,2.59,133967000
55,Wisconsin,WI,12.4331478867218%,714000,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.3445378151261%,0%,29.656862745098%,20.4098573438057%,270460,67%,33%,2.56,323421000
56,Wyoming,WY,12.7810825561479%,74470,130%,SNAP,185%,Other Nutrition Program,40.7009534040553%,15.4021753726333%,43.8968712233114%,18.6333582559998%,25420,54%,46%,2.92,38447000
