FIPS,State Name,State,2012 Food Insecurity Rate,# of Food Insecure Persons in 2012 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2012 Child Food Insecurity Rate,# of Food Insecure Children in 2012,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2012,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2012,2012 Cost Per Meal,2012 Weighted Annual Food Budget Shortfall
13,Georgia,GA,18.8971813855823%,1874590,130%,SNAP,185%,Other Nutrition Program,55.3881632783702%,16.8271792765351%,27.8033836732299%,28.0788878039321%,700780,71%,29%,2.70410901590358,887782000
15,Hawaii,HI,14.1692277526677%,197280,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",56.1729166666667%,0%,43.8270833333333%,23.9004757644091%,72390,52%,48%,2.86400523960487,98954000
16,Idaho,ID,15.7959251200706%,252060,130%,SNAP,185%,Other Nutrition Program,49.6738951043402%,19.8304213282552%,30.4466158851067%,21.5956605266132%,91730,68%,32%,2.69014865603942,118756000
17,Illinois,IL,14.2429023735841%,1833810,130%,SNAP,185%,Other Nutrition Program,51.4984387695563%,15.567895801637%,32.9247850104427%,21.6107730494856%,661950,67%,33%,2.46484647043508,791626000
18,Indiana,IN,15.6585237957859%,1023650,130%,SNAP,185%,Other Nutrition Program,54.1469467103014%,14.8389556977483%,31.0398739803644%,21.7519106038118%,345730,71%,29%,2.42806986659824,435300000
19,Iowa,IA,12.6775022721462%,389730,160%,SNAP,185%,Other Nutrition Program,52.3934672722141%,7.76069073461114%,39.8206758525133%,19.2618720127971%,139200,56%,44%,2.4666576532313,168364000
20,Kansas,KS,14.7908541687963%,426850,130%,SNAP,185%,Other Nutrition Program,50.0851563781188%,15.1919784467612%,34.7490547030573%,22.5161761708747%,162400,68%,32%,2.61395678700831,195411000
21,Kentucky,KY,16.6760455344984%,730480,130%,SNAP,185%,Other Nutrition Program,58.0221320227796%,13.5760349359325%,28.3854684590954%,21.6284422370206%,220170,74%,26%,2.5099013501952,321101000
22,Louisiana,LA,16.9104322938408%,778200,130%,SNAP,185%,Other Nutrition Program,57.5243202261629%,14.8647005911077%,27.595645078386%,23.4076831521797%,261960,72%,28%,2.72665081685977,371618000
23,Maine,ME,15.4981372141873%,206000,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.6830436893204%,0%,36.3169563106796%,24.1365179501254%,64200,69%,31%,3.08755129084164,111393000
24,Maryland,MD,13.1394633722164%,773200,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.0448939472323%,0%,40.9551060527677%,19.3104655102444%,259330,57%,43%,2.86700023839575,388236000
25,Massachusetts,MA,11.8835824201221%,789800,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.1132729805014%,0%,36.8867270194986%,16.5759979446996%,232270,62%,38%,3.04144739907743,420701000
26,Michigan,MI,16.7964133654951%,1660050,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.5018656064577%,0%,26.4981343935424%,22.3022521821308%,505730,68%,32%,2.53520375150455,737072000
27,Minnesota,MN,10.7465153809931%,578070,165%,SNAP,185%,Other Nutrition Program,58.8980590585915%,5.26821665196257%,35.8532115487744%,16.1143371419627%,205910,65%,35%,2.70899787648023,274262000
28,Mississippi,MS,22.3050755697126%,665790,130%,SNAP,185%,Other Nutrition Program,59.4243154748494%,15.8511722915634%,24.692802535334%,28.7179219681437%,214720,75%,25%,2.78638131200796,324903000
29,Missouri,MO,17.1210902446169%,1031030,130%,SNAP,185%,Other Nutrition Program,51.5268711870654%,17.7420967382132%,30.7184980068475%,21.9500379709141%,308110,68%,32%,2.53156296553741,457126000
30,Montana,MT,14.5830286497118%,146580,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.9%,0%,32.1%,22.0314345416553%,48500,64%,36%,2.66173233156915,68331000
31,Nebraska,NE,13.3708788617777%,248100,130%,SNAP,185%,Other Nutrition Program,44.0106529625151%,14.6089359129383%,41.3804111245466%,20.6749322604483%,95680,62%,39%,2.57104051218168,111715000
32,Nevada,NV,16.8213703061077%,464090,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.3128681936693%,0%,24.6871318063307%,28.0517502430684%,186380,69%,31%,2.64116699627088,214671000
33,New Hampshire,NH,10.9251180039948%,144290,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",52.8807678979832%,0%,47.1192321020168%,16.1568892670405%,44440,55%,45%,2.92455321954606,73905000
34,New Jersey,NJ,12.9942839995984%,1151890,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",61.9838942954623%,0%,38.0161057045378%,18.5142825565021%,375240,64%,36%,2.97781489365031,600738000
35,New Mexico,NM,18.5611578403271%,387100,165%,SNAP,185%,Other Nutrition Program,69.3051821234823%,5.81357530353914%,24.8812425729786%,29.1539368185977%,150390,76%,24%,2.59126355436143,175675000
36,New York,NY,14.0965927843272%,2758740,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.455639168606%,0%,26.544360831394%,21.7588083576429%,927150,67%,33%,2.81313867041135,1359183000
37,North Carolina,NC,18.5998402596043%,1813870,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.1663746575003%,0%,26.8336253424997%,26.6572008255685%,608850,72%,28%,2.68959538835778,854416000
38,North Dakota,ND,7.73839812014385%,54140,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.8%,0%,40.2%,10.6114290905787%,16350,51%,49%,2.72089870708595,25799000
39,Ohio,OH,17.1702301367134%,1982170,130%,SNAP,185%,Other Nutrition Program,53.6307012012088%,14.1174571303168%,32.2398023378419%,25.2297715161142%,671090,67%,33%,2.50016226544851,867931000
40,Oklahoma,OK,17.2039571985048%,656300,130%,SNAP,185%,Other Nutrition Program,52.7130214840774%,16.150239219869%,31.1367392960536%,25.5672424178988%,239380,67%,33%,2.66153227825953,305922000
41,Oregon,OR,16.7463679230888%,653000,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",71.959517611026%,0%,28.040482388974%,27.3495316853055%,235410,68%,32%,2.6480124134612,302837000
42,Pennsylvania,PA,14.3277693579585%,1828730,160%,SNAP,185%,Other Nutrition Program,55.8087771294833%,7.60858081838216%,36.593579150558%,20.5581902015522%,562770,66%,34%,2.74664339798487,879686000
44,Rhode Island,RI,14.6568763734276%,153940,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.3487982330778%,0%,37.6512017669222%,21.2710059826145%,46150,68%,32%,2.93306078100949,79077000
45,South Carolina,SC,17.9644318686765%,848590,130%,SNAP,185%,Other Nutrition Program,55.5352019231903%,18.3425706171414%,26.1556405331196%,26.3534990601087%,284880,71%,29%,2.61063108095161,387989000
46,South Dakota,SD,12.3428938962314%,102860,130%,SNAP,185%,Other Nutrition Program,45.7%,16.2%,38.1%,18.4960484178982%,37770,62%,38%,2.74252296494817,49405000
47,Tennessee,TN,17.0656525784423%,1101800,130%,SNAP,185%,Other Nutrition Program,54.8902722817208%,18.5729660555455%,26.5571446723543%,24.6634190348524%,368530,73%,27%,2.76904989416751,534330000
48,Texas,TX,18.3192479063922%,4773850,165%,SNAP,185%,Other Nutrition Program,66.5651834473224%,7.34367858227636%,26.0927132188904%,27.3516993915781%,1909470,70%,30%,2.40072707789717,2007186000
49,Utah,UT,15.5441467004893%,443830,130%,SNAP,185%,Other Nutrition Program,47.0149223801906%,17.5023162021495%,35.5083455377059%,20.663151440281%,183320,62%,38%,2.52786866030838,196493000
50,Vermont,VT,13.3591901739746%,83630,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.8%,0%,37.2%,19.7975607196765%,24530,63%,37%,3.06446127896312,44884000
51,Virginia,VA,12.1371383141212%,993530,130%,SNAP,185%,Other Nutrition Program,47.7827987076384%,18.34434591809%,33.872466860588%,16.1539863433824%,299600,62%,38%,2.86186127145852,497973000
53,Washington,WA,14.9551718918279%,1031460,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.2790394198515%,0%,32.7209605801485%,23.3671434402777%,370380,63%,37%,2.6914713309047,486204000
54,West Virginia,WV,14.9982780114185%,278280,130%,SNAP,185%,Other Nutrition Program,52.094006037085%,15.304714675866%,32.601279287049%,21.6503565665504%,83190,68%,32%,2.59490250423191,126468000
55,Wisconsin,WI,12.6496621436372%,724370,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.4782445435344%,0%,30.5217554564656%,20.7432694133283%,273140,64%,36%,2.47227395496724,313641000
56,Wyoming,WY,13.0045869968009%,74960,130%,SNAP,185%,Other Nutrition Program,41.4%,16.7%,41.9%,19.169167703682%,26190,50%,50%,2.77797380702536,36470000
