"FIPS","State","County, State","2016 Food Insecurity Rate","# of Food Insecure Persons in 2016","Low Threshold in state","Low Threshold Type","High Threshold in state","High Threshold Type","% FI ≤ Low Threshold","% FI Btwn Thresholds","% FI > High Threshold","2016 Child food insecurity rate","# of Food Insecure Children in 2016","% food insecure children in HH w/ HH incomes below 185 FPL in 2016","% food insecure children in HH w/ HH incomes above 185 FPL in 2016","2016 Cost Per Meal","2016 Weighted Annual Food Budget Shortfall"
"1061","AL","Geneva County, Alabama","15.3%","  4,080 ","130%","SNAP","185%","Other Nutrition Program","66.0%","12.1%","21.9%","26.0%","  1,550 ","78%","22%","$2.68","$1,868,000.00"
"1063","AL","Greene County, Alabama","31.4%","  2,690 ","130%","SNAP","185%","Other Nutrition Program","72.4%","25.8%","1.8%","34.3%","  680 ","82%","18%","$3.18","$1,461,000.00"
"1065","AL","Hale County, Alabama","23.4%","  3,550 ","130%","SNAP","185%","Other Nutrition Program","62.3%","20.7%","17.1%","25.7%","  920 ","78%","22%","$3.18","$1,926,000.00"
"1067","AL","Henry County, Alabama","15.5%","  2,670 ","130%","SNAP","185%","Other Nutrition Program","59.2%","18.1%","22.7%","21.5%","  780 ","83%","17%","$3.12","$1,421,000.00"
"1069","AL","Houston County, Alabama","17.3%","  17,960 ","130%","SNAP","185%","Other Nutrition Program","56.8%","16.7%","26.5%","24.0%","  5,940 ","74%","26%","$3.17","$9,723,000.00"
"1071","AL","Jackson County, Alabama","14.0%","  7,360 ","130%","SNAP","185%","Other Nutrition Program","67.3%","10.8%","21.9%","25.1%","  2,870 ","89%","11%","$3.09","$3,887,000.00"
"1073","AL","Jefferson County, Alabama","19.0%","  125,000 ","130%","SNAP","185%","Other Nutrition Program","51.0%","14.3%","34.7%","22.2%","  33,870 ","67%","33%","$3.06","$65,354,000.00"
"1075","AL","Lamar County, Alabama","16.2%","  2,280 ","130%","SNAP","185%","Other Nutrition Program","68.3%","19.6%","12.1%","27.1%","  830 ","100%","0%","$3.13","$1,220,000.00"
"1077","AL","Lauderdale County, Alabama","15.1%","  13,940 ","130%","SNAP","185%","Other Nutrition Program","53.4%","16.2%","30.3%","24.0%","  4,570 ","81%","20%","$2.89","$6,882,000.00"
"1079","AL","Lawrence County, Alabama","14.6%","  4,880 ","130%","SNAP","185%","Other Nutrition Program","57.1%","15.8%","27.1%","23.0%","  1,680 ","83%","17%","$2.96","$2,466,000.00"
"1081","AL","Lee County, Alabama","18.0%","  27,640 ","130%","SNAP","185%","Other Nutrition Program","59.1%","8.7%","32.3%","21.6%","  7,240 ","69%","31%","$3.42","$16,152,000.00"
"1083","AL","Limestone County, Alabama","12.4%","  11,220 ","130%","SNAP","185%","Other Nutrition Program","50.1%","15.7%","34.2%","20.2%","  4,260 ","73%","27%","$3.07","$5,878,000.00"
"1085","AL","Lowndes County, Alabama","28.1%","  2,970 ","130%","SNAP","185%","Other Nutrition Program","63.2%","22.6%","14.2%","30.7%","  750 ","78%","22%","$3.13","$1,589,000.00"
"1087","AL","Macon County, Alabama","27.0%","  5,320 ","130%","SNAP","185%","Other Nutrition Program","55.5%","22.6%","21.9%","26.3%","  930 ","74%","26%","$3.10","$2,815,000.00"
"1089","AL","Madison County, Alabama","14.3%","  50,100 ","130%","SNAP","185%","Other Nutrition Program","44.4%","13.1%","42.5%","19.6%","  15,400 ","62%","38%","$3.06","$26,173,000.00"
"1091","AL","Marengo County, Alabama","23.6%","  4,740 ","130%","SNAP","185%","Other Nutrition Program","64.0%","19.6%","16.4%","27.3%","  1,260 ","84%","16%","$2.97","$2,408,000.00"
"1093","AL","Marion County, Alabama","13.9%","  4,200 ","130%","SNAP","185%","Other Nutrition Program","64.0%","16.9%","19.1%","24.3%","  1,550 ","85%","15%","$3.07","$2,201,000.00"
"1095","AL","Marshall County, Alabama","12.2%","  11,570 ","130%","SNAP","185%","Other Nutrition Program","69.9%","14.9%","15.2%","24.7%","  5,760 ","87%","13%","$2.85","$5,642,000.00"
"1097","AL","Mobile County, Alabama","18.9%","  78,400 ","130%","SNAP","185%","Other Nutrition Program","53.7%","15.9%","30.4%","24.2%","  24,010 ","72%","28%","$3.10","$41,504,000.00"
"1099","AL","Monroe County, Alabama","25.4%","  5,580 ","130%","SNAP","185%","Other Nutrition Program","63.8%","12.7%","23.5%","28.8%","  1,480 ","71%","29%","$2.90","$2,766,000.00"
"1101","AL","Montgomery County, Alabama","22.1%","  50,160 ","130%","SNAP","185%","Other Nutrition Program","54.6%","15.1%","30.3%","23.5%","  12,410 ","68%","32%","$3.07","$26,317,000.00"
"1103","AL","Morgan County, Alabama","13.2%","  15,800 ","130%","SNAP","185%","Other Nutrition Program","56.1%","15.9%","28.0%","22.1%","  6,130 ","76%","24%","$2.98","$8,058,000.00"
"1105","AL","Perry County, Alabama","30.2%","  2,970 ","130%","SNAP","185%","Other Nutrition Program","68.8%","19.6%","11.5%","35.1%","  780 ","82%","18%","$3.00","$1,520,000.00"
"1107","AL","Pickens County, Alabama","20.5%","  4,110 ","130%","SNAP","185%","Other Nutrition Program","64.9%","14.7%","20.4%","26.4%","  1,110 ","81%","19%","$3.11","$2,187,000.00"
"1109","AL","Pike County, Alabama","21.4%","  7,120 ","130%","SNAP","185%","Other Nutrition Program","60.6%","14.8%","24.6%","24.5%","  1,640 ","76%","24%","$3.14","$3,819,000.00"
"1111","AL","Randolph County, Alabama","16.3%","  3,690 ","130%","SNAP","185%","Other Nutrition Program","59.5%","13.9%","26.6%","24.7%","  1,240 ","77%","23%","$2.82","$1,781,000.00"
"1113","AL","Russell County, Alabama","20.1%","  11,760 ","130%","SNAP","185%","Other Nutrition Program","57.1%","18.9%","24.0%","24.0%","  3,530 ","72%","28%","$3.03","$6,092,000.00"
"1115","AL","St. Clair County, Alabama","11.9%","  10,300 ","130%","SNAP","185%","Other Nutrition Program","52.7%","12.5%","34.8%","20.3%","  4,050 ","73%","27%","$3.30","$5,801,000.00"
"1117","AL","Shelby County, Alabama","9.6%","  19,830 ","130%","SNAP","185%","Other Nutrition Program","40.8%","12.3%","46.9%","16.8%","  8,470 ","53%","47%","$3.40","$11,518,000.00"
"1119","AL","Sumter County, Alabama","29.1%","  3,870 ","130%","SNAP","185%","Other Nutrition Program","69.9%","14.4%","15.7%","28.7%","  760 ","75%","25%","$2.95","$1,951,000.00"
"1121","AL","Talladega County, Alabama","18.5%","  14,960 ","130%","SNAP","185%","Other Nutrition Program","56.7%","17.9%","25.4%","25.4%","  4,580 ","76%","24%","$3.13","$8,009,000.00"
"1123","AL","Tallapoosa County, Alabama","17.9%","  7,350 ","130%","SNAP","185%","Other Nutrition Program","62.7%","14.5%","22.8%","27.2%","  2,390 ","84%","16%","$3.12","$3,917,000.00"
"1125","AL","Tuscaloosa County, Alabama","17.5%","  35,400 ","130%","SNAP","185%","Other Nutrition Program","51.0%","13.7%","35.3%","21.3%","  9,060 ","69%","31%","$3.29","$19,916,000.00"
"1127","AL","Walker County, Alabama","15.7%","  10,320 ","130%","SNAP","185%","Other Nutrition Program","64.6%","12.7%","22.7%","26.9%","  3,910 ","84%","16%","$3.02","$5,329,000.00"
"1129","AL","Washington County, Alabama","17.7%","  3,000 ","130%","SNAP","185%","Other Nutrition Program","55.9%","18.5%","25.7%","26.5%","  1,050 ","77%","23%","$3.08","$1,581,000.00"
"1131","AL","Wilcox County, Alabama","32.3%","  3,590 ","130%","SNAP","185%","Other Nutrition Program","68.7%","14.4%","16.9%","34.8%","  900 ","78%","22%","$2.95","$1,808,000.00"
"1133","AL","Winston County, Alabama","14.3%","  3,420 ","130%","SNAP","185%","Other Nutrition Program","64.7%","18.9%","16.3%","27.6%","  1,390 ","94%","7%","$2.83","$1,656,000.00"
"2013","AK","Aleutians East Borough, Alaska","12.9%","  420 ","130%","SNAP","185%","Other Nutrition Program","61.7%","27.1%","11.2%","16.2%","  70 ","55%","45%","$4.23","$304,000.00"
"2016","AK","Aleutians West Census Area, Alaska","12.4%","  710 ","130%","SNAP","185%","Other Nutrition Program","44.8%","28.6%","26.6%","12.7%","  110 ","49%","51%","$6.00","$727,000.00"
"2020","AK","Anchorage Municipality, Alaska","12.0%","  35,850 ","130%","SNAP","185%","Other Nutrition Program","40.9%","14.2%","44.9%","15.7%","  11,780 ","56%","44%","$3.40","$20,808,000.00"
"2050","AK","Bethel Census Area, Alaska","21.7%","  3,880 ","130%","SNAP","185%","Other Nutrition Program","78.6%","15.3%","6.1%","29.4%","  1,880 ","92%","8%","$3.77","$2,500,000.00"
"2060","AK","Bristol Bay Borough, Alaska","12.7%","  120 ","130%","SNAP","185%","Other Nutrition Program","37.9%","11.7%","50.4%","16.0%","  40 ","45%","55%","$3.54","$72,000.00"
"2068","AK","Denali Borough, Alaska","13.7%","  290 ","130%","SNAP","185%","Other Nutrition Program","41.6%","16.0%","42.4%","16.6%","  60 ","30%","70%","$3.51","$174,000.00"
"2070","AK","Dillingham Census Area, Alaska","16.9%","  840 ","130%","SNAP","185%","Other Nutrition Program","66.2%","22.3%","11.5%","23.5%","  370 ","84%","16%","$3.78","$543,000.00"
"2090","AK","Fairbanks North Star Borough, Alaska","12.3%","  12,320 ","130%","SNAP","185%","Other Nutrition Program","36.9%","18.2%","44.9%","15.8%","  3,870 ","55%","45%","$3.73","$7,843,000.00"
"2100","AK","Haines Borough, Alaska","13.9%","  350 ","130%","SNAP","185%","Other Nutrition Program","33.4%","40.4%","26.2%","18.7%","  90 ","57%","43%","$3.42","$205,000.00"
"2105","AK","Hoonah-Angoon Census Area, Alaska","16.1%","  340 ","130%","SNAP","185%","Other Nutrition Program","48.6%","21.7%","29.7%","25.9%","  100 ","83%","17%","$3.24","$188,000.00"
"2110","AK","Juneau City and Borough, Alaska","10.6%","  3,430 ","130%","SNAP","185%","Other Nutrition Program","37.4%","7.9%","54.7%","15.3%","  1,110 ","46%","54%","$3.22","$1,887,000.00"
"2122","AK","Kenai Peninsula Borough, Alaska","13.4%","  7,740 ","130%","SNAP","185%","Other Nutrition Program","48.9%","13.2%","37.9%","19.3%","  2,560 ","65%","35%","$4.24","$5,605,000.00"
"2130","AK","Ketchikan Gateway Borough, Alaska","13.4%","  1,840 ","130%","SNAP","185%","Other Nutrition Program","43.6%","15.7%","40.7%","18.6%","  580 ","54%","46%","$3.15","$990,000.00"
"2150","AK","Kodiak Island Borough, Alaska","11.2%","  1,560 ","130%","SNAP","185%","Other Nutrition Program","43.5%","25.1%","31.4%","16.1%","  600 ","68%","32%","$3.55","$945,000.00"
"2158","AK","Kusilvak Census Area, Alaska","27.3%","  2,180 ","130%","SNAP","185%","Other Nutrition Program","90.4%","9.6%","0.0%","37.6%","  1,210 ","100%","0%","$4.23","$1,577,000.00"
"2164","AK","Lake and Peninsula Borough, Alaska","18.6%","  260 ","130%","SNAP","185%","Other Nutrition Program","70.1%","18.8%","11.1%","26.3%","  110 ","80%","20%","$3.54","$157,000.00"
"2170","AK","Matanuska-Susitna Borough, Alaska","12.5%","  12,370 ","130%","SNAP","185%","Other Nutrition Program","43.1%","15.6%","41.3%","17.9%","  4,840 ","55%","45%","$3.95","$8,353,000.00"
"2180","AK","Nome Census Area, Alaska","21.4%","  2,110 ","130%","SNAP","185%","Other Nutrition Program","73.2%","15.5%","11.3%","28.4%","  970 ","84%","17%","$4.23","$1,527,000.00"
"2185","AK","North Slope Borough, Alaska","14.5%","  1,410 ","130%","SNAP","185%","Other Nutrition Program","49.4%","13.8%","36.9%","19.0%","  470 ","69%","31%","$3.76","$906,000.00"
"2188","AK","Northwest Arctic Borough, Alaska","22.6%","  1,740 ","130%","SNAP","185%","Other Nutrition Program","68.5%","16.7%","14.8%","30.2%","  820 ","81%","19%","$3.74","$1,113,000.00"
"2195","AK","Petersburg Borough, Alaska","12.7%","  400 ","130%","SNAP","185%","Other Nutrition Program","44.3%","20.4%","35.3%","18.3%","  140 ","56%","44%","$3.44","$235,000.00"
"2198","AK","Prince of Wales-Hyder Census Area, Alaska","16.5%","  1,050 ","130%","SNAP","185%","Other Nutrition Program","56.7%","12.8%","30.4%","24.2%","  380 ","65%","35%","$3.24","$582,000.00"
"2220","AK","Sitka City and Borough, Alaska","12.0%","  1,070 ","130%","SNAP","185%","Other Nutrition Program","40.7%","14.1%","45.2%","15.4%","  310 ","56%","44%","$3.40","$622,000.00"
"2230","AK","Skagway Municipality, Alaska","14.3%","  140 ","130%","SNAP","185%","Other Nutrition Program","25.2%","18.2%","56.5%","18.1%","  20 ","19%","81%","$3.34","$80,000.00"
"2240","AK","Southeast Fairbanks Census Area, Alaska","15.1%","  1,050 ","130%","SNAP","185%","Other Nutrition Program","48.9%","27.4%","23.7%","21.8%","  410 ","89%","11%","$3.52","$632,000.00"
"2261","AK","Valdez-Cordova Census Area, Alaska","12.2%","  1,170 ","130%","SNAP","185%","Other Nutrition Program","43.3%","7.9%","48.8%","16.3%","  370 ","40%","60%","$3.53","$705,000.00"
"2275","AK","Wrangell City and Borough, Alaska","13.3%","  320 ","130%","SNAP","185%","Other Nutrition Program","50.2%","29.5%","20.3%","19.3%","  100 ","77%","23%","$3.47","$190,000.00"
"2282","AK","Yakutat City and Borough, Alaska","13.8%","  90 ","130%","SNAP","185%","Other Nutrition Program","57.6%","24.9%","17.5%","19.2%","  30 ","77%","23%","$3.63","$56,000.00"
"2290","AK","Yukon-Koyukuk Census Area, Alaska","22.1%","  1,240 ","130%","SNAP","185%","Other Nutrition Program","66.6%","18.5%","14.9%","31.7%","  500 ","81%","19%","$3.57","$756,000.00"
"4001","AZ","Apache County, Arizona","25.5%","  18,430 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","83.6%","","16.4%","35.1%","  7,430 ","93%","7%","$2.97","$9,363,000.00"
"4003","AZ","Cochise County, Arizona","14.5%","  18,540 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","71.2%","","28.8%","23.3%","  6,640 ","74%","26%","$2.90","$9,193,000.00"
"4005","AZ","Coconino County, Arizona","19.1%","  26,310 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","65.5%","","34.5%","24.4%","  7,350 ","74%","26%","$3.22","$14,465,000.00"
"4007","AZ","Gila County, Arizona","17.5%","  9,330 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","75.8%","","24.2%","28.1%","  3,040 ","80%","20%","$3.05","$4,859,000.00"
"4009","AZ","Graham County, Arizona","15.5%","  5,820 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","68.8%","","31.2%","24.9%","  2,600 ","77%","23%","$3.01","$2,991,000.00"
"4011","AZ","Greenlee County, Arizona","13.1%","  1,210 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","83.1%","","16.9%","22.4%","  590 ","71%","29%","$2.94","$608,000.00"
"4012","AZ","La Paz County, Arizona","15.3%","  3,110 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","90.4%","","9.6%","26.6%","  930 ","92%","8%","$3.06","$1,628,000.00"
"4013","AZ","Maricopa County, Arizona","14.3%","  585,330 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","68.3%","","31.7%","21.1%","  216,340 ","68%","32%","$3.02","$302,028,000.00"
"4015","AZ","Mohave County, Arizona","17.8%","  36,160 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","73.2%","","26.8%","25.9%","  9,870 ","80%","20%","$2.99","$18,452,000.00"
"4017","AZ","Navajo County, Arizona","21.9%","  23,720 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","81.7%","","18.3%","30.7%","  9,290 ","87%","13%","$2.94","$11,922,000.00"
"4019","AZ","Pima County, Arizona","14.1%","  141,120 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","74.3%","","25.7%","22.1%","  48,550 ","71%","29%","$2.98","$71,893,000.00"
"4021","AZ","Pinal County, Arizona","13.9%","  55,270 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","68.3%","","31.7%","22.4%","  21,620 ","74%","26%","$2.86","$27,049,000.00"
"4023","AZ","Santa Cruz County, Arizona","8.3%","  3,880 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","100.0%","","0.0%","24.1%","  3,190 ","80%","20%","$2.61","$1,733,000.00"
"4025","AZ","Yavapai County, Arizona","15.5%","  33,860 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","65.4%","","34.6%","22.2%","  8,440 ","72%","28%","$3.14","$18,168,000.00"
"4027","AZ","Yuma County, Arizona","16.1%","  32,800 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","86.2%","","13.8%","31.6%","  16,840 ","81%","20%","$2.74","$15,340,000.00"
"5001","AR","Arkansas County, Arkansas","19.1%","  3,550 ","130%","SNAP","185%","Other Nutrition Program","57.8%","20.8%","21.4%","23.7%","  1,020 ","76%","24%","$3.01","$1,828,000.00"
"5003","AR","Ashley County, Arkansas","19.2%","  4,040 ","130%","SNAP","185%","Other Nutrition Program","57.2%","21.0%","21.8%","25.9%","  1,280 ","78%","23%","$2.98","$2,058,000.00"
"5005","AR","Baxter County, Arkansas","13.9%","  5,710 ","130%","SNAP","185%","Other Nutrition Program","50.5%","22.7%","26.8%","23.2%","  1,680 ","74%","26%","$2.96","$2,885,000.00"
"5007","AR","Benton County, Arkansas","10.8%","  26,380 ","130%","SNAP","185%","Other Nutrition Program","52.3%","17.6%","30.1%","18.8%","  12,530 ","69%","32%","$2.99","$13,474,000.00"
"5009","AR","Boone County, Arkansas","14.9%","  5,550 ","130%","SNAP","185%","Other Nutrition Program","56.5%","21.8%","21.7%","23.8%","  1,970 ","81%","20%","$2.58","$2,443,000.00"
"5011","AR","Bradley County, Arkansas","20.8%","  2,310 ","130%","SNAP","185%","Other Nutrition Program","71.0%","10.4%","18.6%","28.1%","  730 ","72%","28%","$2.89","$1,142,000.00"
"5013","AR","Calhoun County, Arkansas","17.5%","  910 ","130%","SNAP","185%","Other Nutrition Program","65.1%","19.4%","15.5%","24.4%","  250 ","100%","0%","$2.84","$441,000.00"
"5015","AR","Carroll County, Arkansas","12.5%","  3,450 ","130%","SNAP","185%","Other Nutrition Program","67.8%","13.0%","19.2%","21.9%","  1,350 ","81%","19%","$2.97","$1,750,000.00"
"5017","AR","Chicot County, Arkansas","26.7%","  2,990 ","130%","SNAP","185%","Other Nutrition Program","66.6%","16.0%","17.5%","28.8%","  740 ","70%","31%","$2.91","$1,487,000.00"
"5019","AR","Clark County, Arkansas","20.4%","  4,630 ","130%","SNAP","185%","Other Nutrition Program","53.7%","10.8%","35.5%","25.2%","  1,110 ","70%","30%","$3.07","$2,430,000.00"
"5021","AR","Clay County, Arkansas","17.3%","  2,630 ","130%","SNAP","185%","Other Nutrition Program","63.9%","18.2%","17.9%","27.3%","  870 ","89%","11%","$2.58","$1,158,000.00"
"5023","AR","Cleburne County, Arkansas","15.1%","  3,880 ","130%","SNAP","185%","Other Nutrition Program","52.6%","17.5%","29.9%","24.9%","  1,250 ","70%","30%","$3.12","$2,071,000.00"
"5025","AR","Cleveland County, Arkansas","17.0%","  1,430 ","130%","SNAP","185%","Other Nutrition Program","53.9%","12.3%","33.8%","25.4%","  490 ","69%","31%","$3.02","$738,000.00"
"5027","AR","Columbia County, Arkansas","22.7%","  5,500 ","130%","SNAP","185%","Other Nutrition Program","56.2%","10.2%","33.6%","26.9%","  1,390 ","60%","40%","$2.99","$2,809,000.00"
"5029","AR","Conway County, Arkansas","18.2%","  3,830 ","130%","SNAP","185%","Other Nutrition Program","57.2%","15.4%","27.4%","27.1%","  1,320 ","73%","27%","$2.75","$1,799,000.00"
"5031","AR","Craighead County, Arkansas","17.5%","  17,990 ","130%","SNAP","185%","Other Nutrition Program","56.4%","13.2%","30.3%","23.2%","  5,930 ","69%","31%","$2.74","$8,438,000.00"
"5033","AR","Crawford County, Arkansas","14.2%","  8,810 ","130%","SNAP","185%","Other Nutrition Program","61.1%","18.4%","20.5%","23.8%","  3,700 ","82%","19%","$2.96","$4,453,000.00"
"5035","AR","Crittenden County, Arkansas","25.0%","  12,360 ","130%","SNAP","185%","Other Nutrition Program","60.5%","18.3%","21.2%","25.8%","  3,590 ","65%","35%","$2.98","$6,290,000.00"
"5037","AR","Cross County, Arkansas","19.4%","  3,350 ","130%","SNAP","185%","Other Nutrition Program","62.8%","18.5%","18.7%","24.1%","  1,030 ","78%","22%","$2.78","$1,594,000.00"
"5039","AR","Dallas County, Arkansas","20.3%","  1,570 ","130%","SNAP","185%","Other Nutrition Program","44.2%","22.2%","33.6%","23.0%","  420 ","55%","45%","$2.96","$793,000.00"
"5041","AR","Desha County, Arkansas","26.6%","  3,250 ","130%","SNAP","185%","Other Nutrition Program","73.4%","12.0%","14.6%","30.0%","  940 ","67%","33%","$2.94","$1,635,000.00"
"5043","AR","Drew County, Arkansas","22.9%","  4,290 ","130%","SNAP","185%","Other Nutrition Program","62.8%","10.0%","27.2%","27.5%","  1,150 ","61%","39%","$2.94","$2,154,000.00"
"5045","AR","Faulkner County, Arkansas","16.3%","  19,660 ","130%","SNAP","185%","Other Nutrition Program","51.2%","13.9%","34.9%","20.4%","  5,830 ","65%","36%","$3.06","$10,286,000.00"
