"FIPS","State","County, State","2015 Food Insecurity Rate","# of Food Insecure Persons in 2015","Low Threshold in state","Low Threshold Type","High Threshold in state","High Threshold Type","% FI ≤ Low Threshold","% FI Btwn Thresholds","% FI > High Threshold","2015 Child food insecurity rate","# of Food Insecure Children in 2015","% food insecure children in HH w/ HH incomes below 185 FPL in 2015","% food insecure children in HH w/ HH incomes above 185 FPL in 2015","2015 Cost Per Meal","2015 Weighted Annual Food Budget Shortfall"
"1057","AL","Fayette County, Alabama","16.1%","  2,720 ","130%","SNAP","185%","Other Nutrition Program","64.5%","20.7%","14.7%","25.8%","  950 ","93%","8%","$3.14","$1,533,000.00"
"1059","AL","Franklin County, Alabama","13.5%","  4,270 ","130%","SNAP","185%","Other Nutrition Program","75.2%","13.2%","11.6%","27.7%","  2,120 ","89%","11%","$2.83","$2,169,000.00"
"1061","AL","Geneva County, Alabama","15.5%","  4,150 ","130%","SNAP","185%","Other Nutrition Program","70.2%","13.6%","16.3%","28.5%","  1,690 ","79%","21%","$2.75","$2,043,000.00"
"1063","AL","Greene County, Alabama","31.8%","  2,760 ","130%","SNAP","185%","Other Nutrition Program","68.7%","31.1%","0.2%","34.7%","  700 ","80%","20%","$3.21","$1,588,000.00"
"1065","AL","Hale County, Alabama","23.6%","  3,600 ","130%","SNAP","185%","Other Nutrition Program","59.7%","25.8%","14.5%","25.8%","  930 ","83%","17%","$3.20","$2,065,000.00"
"1067","AL","Henry County, Alabama","16.2%","  2,800 ","130%","SNAP","185%","Other Nutrition Program","56.6%","19.4%","24.0%","22.1%","  820 ","80%","20%","$3.09","$1,553,000.00"
"1069","AL","Houston County, Alabama","17.6%","  18,260 ","130%","SNAP","185%","Other Nutrition Program","56.3%","19.3%","24.5%","24.7%","  6,110 ","75%","25%","$3.15","$10,307,000.00"
"1071","AL","Jackson County, Alabama","14.3%","  7,550 ","130%","SNAP","185%","Other Nutrition Program","69.6%","15.0%","15.4%","25.8%","  2,980 ","89%","11%","$3.00","$4,063,000.00"
"1073","AL","Jefferson County, Alabama","19.4%","  127,630 ","130%","SNAP","185%","Other Nutrition Program","50.0%","17.9%","32.1%","22.3%","  34,070 ","68%","32%","$2.99","$68,492,000.00"
"1075","AL","Lamar County, Alabama","16.9%","  2,390 ","130%","SNAP","185%","Other Nutrition Program","70.6%","21.4%","7.9%","28.9%","  890 ","100%","0%","$3.00","$1,285,000.00"
"1077","AL","Lauderdale County, Alabama","15.6%","  14,480 ","130%","SNAP","185%","Other Nutrition Program","55.9%","17.0%","27.1%","25.1%","  4,830 ","78%","22%","$2.82","$7,325,000.00"
"1079","AL","Lawrence County, Alabama","15.4%","  5,180 ","130%","SNAP","185%","Other Nutrition Program","59.0%","20.3%","20.7%","25.2%","  1,870 ","82%","18%","$2.88","$2,676,000.00"
"1081","AL","Lee County, Alabama","18.4%","  27,730 ","130%","SNAP","185%","Other Nutrition Program","60.5%","12.0%","27.5%","22.1%","  7,310 ","71%","29%","$3.28","$16,293,000.00"
"1083","AL","Limestone County, Alabama","12.9%","  11,470 ","130%","SNAP","185%","Other Nutrition Program","50.7%","16.9%","32.3%","21.4%","  4,450 ","71%","29%","$3.29","$6,759,000.00"
"1085","AL","Lowndes County, Alabama","28.3%","  3,040 ","130%","SNAP","185%","Other Nutrition Program","57.9%","27.5%","14.7%","28.4%","  710 ","76%","24%","$3.14","$1,710,000.00"
"1087","AL","Macon County, Alabama","27.3%","  5,470 ","130%","SNAP","185%","Other Nutrition Program","49.2%","28.9%","21.9%","25.5%","  950 ","75%","25%","$3.22","$3,163,000.00"
"1089","AL","Madison County, Alabama","15.1%","  52,210 ","130%","SNAP","185%","Other Nutrition Program","45.7%","15.2%","39.1%","20.6%","  16,230 ","64%","36%","$2.94","$27,510,000.00"
"1091","AL","Marengo County, Alabama","22.9%","  4,650 ","130%","SNAP","185%","Other Nutrition Program","60.5%","24.0%","15.5%","25.5%","  1,210 ","86%","14%","$2.98","$2,483,000.00"
"1093","AL","Marion County, Alabama","15.0%","  4,550 ","130%","SNAP","185%","Other Nutrition Program","67.9%","19.6%","12.5%","25.8%","  1,660 ","91%","9%","$2.90","$2,366,000.00"
"1095","AL","Marshall County, Alabama","12.4%","  11,720 ","130%","SNAP","185%","Other Nutrition Program","76.5%","13.6%","9.9%","25.7%","  5,980 ","88%","12%","$2.97","$6,249,000.00"
"1097","AL","Mobile County, Alabama","19.2%","  79,390 ","130%","SNAP","185%","Other Nutrition Program","53.7%","19.2%","27.1%","24.0%","  24,110 ","75%","25%","$3.08","$43,826,000.00"
"1099","AL","Monroe County, Alabama","25.0%","  5,550 ","130%","SNAP","185%","Other Nutrition Program","63.5%","20.3%","16.2%","29.1%","  1,560 ","75%","25%","$3.00","$2,984,000.00"
"1101","AL","Montgomery County, Alabama","22.6%","  51,560 ","130%","SNAP","185%","Other Nutrition Program","53.1%","18.8%","28.1%","23.5%","  13,040 ","72%","29%","$3.05","$28,163,000.00"
"1103","AL","Morgan County, Alabama","13.7%","  16,350 ","130%","SNAP","185%","Other Nutrition Program","58.4%","17.5%","24.1%","23.1%","  6,460 ","77%","23%","$2.90","$8,516,000.00"
"1105","AL","Perry County, Alabama","29.0%","  2,910 ","130%","SNAP","185%","Other Nutrition Program","61.6%","30.9%","7.5%","31.4%","  720 ","85%","15%","$2.99","$1,561,000.00"
"1107","AL","Pickens County, Alabama","21.2%","  4,200 ","130%","SNAP","185%","Other Nutrition Program","64.3%","20.7%","15.0%","25.5%","  1,090 ","83%","17%","$3.22","$2,429,000.00"
"1109","AL","Pike County, Alabama","22.3%","  7,410 ","130%","SNAP","185%","Other Nutrition Program","60.1%","18.0%","21.9%","24.8%","  1,620 ","76%","24%","$3.17","$4,209,000.00"
"1111","AL","Randolph County, Alabama","16.7%","  3,780 ","130%","SNAP","185%","Other Nutrition Program","61.4%","15.8%","22.8%","24.4%","  1,240 ","74%","26%","$2.86","$1,935,000.00"
"1113","AL","Russell County, Alabama","20.4%","  11,910 ","130%","SNAP","185%","Other Nutrition Program","55.0%","23.6%","21.4%","24.1%","  3,560 ","76%","24%","$3.10","$6,627,000.00"
"1115","AL","St. Clair County, Alabama","12.9%","  11,120 ","130%","SNAP","185%","Other Nutrition Program","57.4%","13.9%","28.7%","22.7%","  4,520 ","76%","25%","$3.13","$6,243,000.00"
"1117","AL","Shelby County, Alabama","10.0%","  20,350 ","130%","SNAP","185%","Other Nutrition Program","41.4%","13.4%","45.3%","17.4%","  8,720 ","53%","48%","$3.32","$12,119,000.00"
"1119","AL","Sumter County, Alabama","30.2%","  4,030 ","130%","SNAP","185%","Other Nutrition Program","68.9%","19.4%","11.6%","30.3%","  810 ","77%","23%","$2.88","$2,081,000.00"
"1121","AL","Talladega County, Alabama","19.2%","  15,670 ","130%","SNAP","185%","Other Nutrition Program","59.1%","19.2%","21.7%","26.9%","  4,880 ","76%","24%","$3.05","$8,563,000.00"
"1123","AL","Tallapoosa County, Alabama","18.1%","  7,470 ","130%","SNAP","185%","Other Nutrition Program","61.6%","20.2%","18.2%","27.4%","  2,430 ","87%","13%","$3.15","$4,218,000.00"
"1125","AL","Tuscaloosa County, Alabama","17.9%","  35,840 ","130%","SNAP","185%","Other Nutrition Program","53.2%","14.7%","32.1%","22.2%","  9,320 ","70%","30%","$3.34","$21,488,000.00"
"1127","AL","Walker County, Alabama","16.0%","  10,570 ","130%","SNAP","185%","Other Nutrition Program","67.4%","15.0%","17.6%","27.9%","  4,080 ","83%","17%","$2.96","$5,614,000.00"
"1129","AL","Washington County, Alabama","17.3%","  2,940 ","130%","SNAP","185%","Other Nutrition Program","51.9%","24.7%","23.4%","25.1%","  1,000 ","77%","23%","$3.04","$1,602,000.00"
"1131","AL","Wilcox County, Alabama","32.2%","  3,620 ","130%","SNAP","185%","Other Nutrition Program","65.6%","21.0%","13.4%","32.9%","  930 ","78%","23%","$2.96","$1,919,000.00"
"1133","AL","Winston County, Alabama","15.1%","  3,640 ","130%","SNAP","185%","Other Nutrition Program","69.8%","16.5%","13.7%","29.7%","  1,520 ","89%","11%","$2.79","$1,820,000.00"
"2013","AK","Aleutians East Borough, Alaska","13.8%","  460 ","130%","SNAP","185%","Other Nutrition Program","63.0%","37.0%","0.0%","19.5%","  80 ","67%","33%","$4.18","$345,000.00"
"2016","AK","Aleutians West Census Area, Alaska","13.8%","  780 ","130%","SNAP","185%","Other Nutrition Program","50.3%","30.4%","19.3%","15.5%","  180 ","51%","50%","$5.72","$800,000.00"
"2020","AK","Anchorage Municipality, Alaska","12.3%","  36,900 ","130%","SNAP","185%","Other Nutrition Program","39.9%","18.8%","41.3%","16.3%","  12,260 ","59%","41%","$3.38","$22,390,000.00"
"2050","AK","Bethel Census Area, Alaska","21.6%","  3,840 ","130%","SNAP","185%","Other Nutrition Program","77.4%","21.8%","0.8%","29.7%","  1,880 ","92%","8%","$3.55","$2,444,000.00"
"2060","AK","Bristol Bay Borough, Alaska","14.2%","  140 ","130%","SNAP","185%","Other Nutrition Program","31.8%","14.1%","54.1%","18.7%","  40 ","46%","54%","$3.53","$89,000.00"
"2068","AK","Denali Borough, Alaska","13.9%","  290 ","130%","SNAP","185%","Other Nutrition Program","43.8%","18.0%","38.2%","17.3%","  70 ","29%","71%","$3.50","$182,000.00"
"2070","AK","Dillingham Census Area, Alaska","17.7%","  880 ","130%","SNAP","185%","Other Nutrition Program","67.5%","24.4%","8.0%","24.6%","  390 ","83%","17%","$3.56","$562,000.00"
"2090","AK","Fairbanks North Star Borough, Alaska","12.9%","  12,870 ","130%","SNAP","185%","Other Nutrition Program","36.8%","19.7%","43.5%","16.5%","  4,050 ","58%","42%","$3.67","$8,481,000.00"
"2100","AK","Haines Borough, Alaska","14.0%","  360 ","130%","SNAP","185%","Other Nutrition Program","31.1%","39.8%","29.1%","19.4%","  80 ","63%","37%","$3.41","$220,000.00"
"2105","AK","Hoonah-Angoon Census Area, Alaska","19.1%","  410 ","130%","SNAP","185%","Other Nutrition Program","50.1%","19.2%","30.7%","29.7%","  110 ","80%","20%","$3.23","$237,000.00"
"2110","AK","Juneau City and Borough, Alaska","11.0%","  3,560 ","130%","SNAP","185%","Other Nutrition Program","34.2%","12.5%","53.3%","15.9%","  1,170 ","48%","52%","$3.19","$2,038,000.00"
"2122","AK","Kenai Peninsula Borough, Alaska","13.3%","  7,610 ","130%","SNAP","185%","Other Nutrition Program","46.6%","19.7%","33.7%","19.0%","  2,500 ","66%","34%","$4.20","$5,727,000.00"
"2130","AK","Ketchikan Gateway Borough, Alaska","14.5%","  1,980 ","130%","SNAP","185%","Other Nutrition Program","45.5%","14.0%","40.5%","19.3%","  610 ","51%","49%","$3.22","$1,145,000.00"
"2150","AK","Kodiak Island Borough, Alaska","12.2%","  1,710 ","130%","SNAP","185%","Other Nutrition Program","48.1%","25.9%","25.9%","17.3%","  660 ","70%","30%","$3.54","$1,085,000.00"
"2158","AK","Kusilvak Census Area, Alaska","27.1%","  2,140 ","130%","SNAP","185%","Other Nutrition Program","89.0%","11.0%","0.0%","38.2%","  1,220 ","100%","0%","$4.19","$1,606,000.00"
"2164","AK","Lake and Peninsula Borough, Alaska","18.6%","  270 ","130%","SNAP","185%","Other Nutrition Program","63.2%","28.1%","8.7%","26.4%","  120 ","79%","21%","$3.53","$171,000.00"
"2170","AK","Matanuska-Susitna Borough, Alaska","12.7%","  12,250 ","130%","SNAP","185%","Other Nutrition Program","45.1%","17.8%","37.1%","18.7%","  4,970 ","58%","42%","$3.98","$8,752,000.00"
"2180","AK","Nome Census Area, Alaska","21.5%","  2,120 ","130%","SNAP","185%","Other Nutrition Program","75.5%","21.0%","3.5%","28.6%","  970 ","87%","13%","$4.19","$1,591,000.00"
"2185","AK","North Slope Borough, Alaska","14.0%","  1,350 ","130%","SNAP","185%","Other Nutrition Program","45.1%","14.2%","40.7%","18.4%","  450 ","62%","39%","$3.72","$900,000.00"
"2188","AK","Northwest Arctic Borough, Alaska","22.4%","  1,730 ","130%","SNAP","185%","Other Nutrition Program","68.4%","20.5%","11.2%","30.3%","  830 ","81%","19%","$3.73","$1,158,000.00"
"2195","AK","Petersburg Borough, Alaska","13.6%","  440 ","130%","SNAP","185%","Other Nutrition Program","45.3%","19.5%","35.2%","18.2%","  140 ","52%","48%","$3.42","$270,000.00"
"2198","AK","Prince of Wales-Hyder Census Area, Alaska","17.2%","  1,100 ","130%","SNAP","185%","Other Nutrition Program","55.2%","17.9%","26.8%","25.0%","  390 ","68%","32%","$3.23","$637,000.00"
"2220","AK","Sitka City and Borough, Alaska","12.2%","  1,090 ","130%","SNAP","185%","Other Nutrition Program","42.3%","10.8%","46.9%","15.5%","  320 ","45%","56%","$3.39","$663,000.00"
"2230","AK","Skagway Municipality, Alaska","15.3%","  150 ","130%","SNAP","185%","Other Nutrition Program","20.2%","19.7%","60.1%","19.3%","  30 ","14%","86%","$3.33","$89,000.00"
"2240","AK","Southeast Fairbanks Census Area, Alaska","16.0%","  1,120 ","130%","SNAP","185%","Other Nutrition Program","53.8%","26.5%","19.7%","23.4%","  450 ","89%","11%","$3.51","$705,000.00"
"2261","AK","Valdez-Cordova Census Area, Alaska","13.6%","  1,310 ","130%","SNAP","185%","Other Nutrition Program","56.7%","7.9%","35.4%","18.5%","  440 ","61%","39%","$3.52","$826,000.00"
"2275","AK","Wrangell City and Borough, Alaska","15.0%","  360 ","130%","SNAP","185%","Other Nutrition Program","48.7%","24.5%","26.8%","21.9%","  90 ","70%","31%","$3.46","$223,000.00"
"2282","AK","Yakutat City and Borough, Alaska","14.4%","  90 ","130%","SNAP","185%","Other Nutrition Program","42.3%","36.4%","21.3%","18.6%","  30 ","71%","29%","$3.61","$58,000.00"
"2290","AK","Yukon-Koyukuk Census Area, Alaska","22.4%","  1,260 ","130%","SNAP","185%","Other Nutrition Program","64.6%","23.8%","11.6%","32.3%","  510 ","83%","17%","$3.55","$803,000.00"
"4001","AZ","Apache County, Arizona","26.6%","  19,180 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","93.1%","","6.9%","37.6%","  8,070 ","96%","4%","$3.01","$10,355,000.00"
"4003","AZ","Cochise County, Arizona","15.0%","  19,460 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","71.1%","","28.9%","24.3%","  7,120 ","75%","25%","$2.81","$9,810,000.00"
"4005","AZ","Coconino County, Arizona","19.9%","  27,220 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","70.8%","","29.2%","26.4%","  7,970 ","74%","26%","$3.06","$14,942,000.00"
"4007","AZ","Gila County, Arizona","18.5%","  9,830 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","79.7%","","20.3%","30.5%","  3,330 ","81%","19%","$2.98","$5,260,000.00"
"4009","AZ","Graham County, Arizona","15.8%","  5,910 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","73.2%","","26.8%","26.3%","  2,740 ","81%","19%","$2.92","$3,092,000.00"
"4011","AZ","Greenlee County, Arizona","13.3%","  1,200 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","81.7%","","18.3%","22.9%","  590 ","66%","34%","$2.84","$612,000.00"
"4012","AZ","La Paz County, Arizona","16.0%","  3,240 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","100.0%","","0.0%","27.4%","  960 ","100%","0%","$2.96","$1,719,000.00"
"4013","AZ","Maricopa County, Arizona","15.0%","  604,200 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","70.8%","","29.2%","22.6%","  229,460 ","68%","32%","$2.97","$321,341,000.00"
"4015","AZ","Mohave County, Arizona","19.1%","  38,760 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","77.8%","","22.2%","28.9%","  11,270 ","81%","19%","$2.94","$20,460,000.00"
"4017","AZ","Navajo County, Arizona","23.0%","  24,730 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","89.4%","","10.6%","33.6%","  10,230 ","90%","10%","$2.85","$12,623,000.00"
"4019","AZ","Pima County, Arizona","14.6%","  145,800 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","76.4%","","23.6%","23.1%","  51,010 ","71%","29%","$2.88","$75,335,000.00"
"4021","AZ","Pinal County, Arizona","14.7%","  57,290 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","71.1%","","28.9%","24.0%","  23,300 ","74%","26%","$2.81","$28,878,000.00"
"4023","AZ","Santa Cruz County, Arizona","8.6%","  4,040 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","100.0%","","0.0%","24.6%","  3,330 ","78%","22%","$2.56","$1,852,000.00"
"4025","AZ","Yavapai County, Arizona","16.8%","  36,220 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","71.0%","","29.0%","24.7%","  9,480 ","76%","24%","$3.01","$19,581,000.00"
"4027","AZ","Yuma County, Arizona","17.5%","  35,470 ","185%","SNAP, Other Nutrition Programs","185%","SNAP, Other Nutrition Programs","83.0%","","17.0%","33.0%","  17,740 ","81%","19%","$2.68","$17,019,000.00"
"5001","AR","Arkansas County, Arkansas","19.8%","  3,710 ","130%","SNAP","185%","Other Nutrition Program","56.7%","20.3%","23.0%","24.7%","  1,080 ","75%","25%","$2.92","$1,944,000.00"
"5003","AR","Ashley County, Arkansas","20.5%","  4,350 ","130%","SNAP","185%","Other Nutrition Program","58.4%","26.0%","15.5%","26.5%","  1,330 ","81%","19%","$2.78","$2,165,000.00"
"5005","AR","Baxter County, Arkansas","15.8%","  6,470 ","130%","SNAP","185%","Other Nutrition Program","53.4%","24.5%","22.1%","26.7%","  1,930 ","78%","22%","$2.85","$3,302,000.00"
"5007","AR","Benton County, Arkansas","11.9%","  28,340 ","130%","SNAP","185%","Other Nutrition Program","53.5%","18.0%","28.4%","21.0%","  13,600 ","68%","33%","$2.91","$14,778,000.00"
"5009","AR","Boone County, Arkansas","16.2%","  6,030 ","130%","SNAP","185%","Other Nutrition Program","57.2%","24.3%","18.5%","25.9%","  2,190 ","83%","17%","$2.54","$2,750,000.00"
"5011","AR","Bradley County, Arkansas","20.9%","  2,350 ","130%","SNAP","185%","Other Nutrition Program","69.2%","14.7%","16.1%","29.0%","  760 ","73%","27%","$2.77","$1,166,000.00"
"5013","AR","Calhoun County, Arkansas","18.1%","  950 ","130%","SNAP","185%","Other Nutrition Program","63.8%","22.6%","13.6%","23.4%","  240 ","100%","0%","$2.75","$468,000.00"
"5015","AR","Carroll County, Arkansas","13.5%","  3,720 ","130%","SNAP","185%","Other Nutrition Program","68.8%","18.4%","12.8%","24.2%","  1,510 ","85%","15%","$2.81","$1,877,000.00"
"5017","AR","Chicot County, Arkansas","27.9%","  3,170 ","130%","SNAP","185%","Other Nutrition Program","62.8%","23.1%","14.1%","30.0%","  780 ","76%","24%","$2.87","$1,630,000.00"
"5019","AR","Clark County, Arkansas","21.2%","  4,810 ","130%","SNAP","185%","Other Nutrition Program","51.5%","16.4%","32.1%","26.1%","  1,170 ","73%","27%","$2.90","$2,498,000.00"
"5021","AR","Clay County, Arkansas","18.1%","  2,790 ","130%","SNAP","185%","Other Nutrition Program","65.2%","21.5%","13.4%","29.2%","  960 ","88%","12%","$2.58","$1,293,000.00"
"5023","AR","Cleburne County, Arkansas","15.9%","  4,090 ","130%","SNAP","185%","Other Nutrition Program","54.2%","19.5%","26.3%","26.3%","  1,340 ","68%","32%","$2.94","$2,154,000.00"
"5025","AR","Cleveland County, Arkansas","17.8%","  1,520 ","130%","SNAP","185%","Other Nutrition Program","54.1%","11.7%","34.1%","27.1%","  550 ","66%","34%","$2.82","$770,000.00"
"5027","AR","Columbia County, Arkansas","23.5%","  5,700 ","130%","SNAP","185%","Other Nutrition Program","56.6%","14.6%","28.8%","26.9%","  1,430 ","68%","33%","$2.88","$2,948,000.00"
"5029","AR","Conway County, Arkansas","18.9%","  3,980 ","130%","SNAP","185%","Other Nutrition Program","58.3%","16.7%","25.0%","28.4%","  1,390 ","73%","27%","$2.68","$1,912,000.00"
"5031","AR","Craighead County, Arkansas","18.9%","  19,120 ","130%","SNAP","185%","Other Nutrition Program","56.4%","16.1%","27.5%","25.2%","  6,340 ","71%","30%","$2.66","$9,134,000.00"
"5033","AR","Crawford County, Arkansas","15.2%","  9,400 ","130%","SNAP","185%","Other Nutrition Program","61.4%","19.2%","19.4%","25.9%","  4,060 ","80%","20%","$2.82","$4,757,000.00"
"5035","AR","Crittenden County, Arkansas","25.8%","  12,860 ","130%","SNAP","185%","Other Nutrition Program","55.9%","26.5%","17.5%","26.2%","  3,650 ","70%","30%","$2.84","$6,554,000.00"
"5037","AR","Cross County, Arkansas","20.6%","  3,590 ","130%","SNAP","185%","Other Nutrition Program","59.9%","19.9%","20.2%","25.0%","  1,070 ","73%","27%","$2.73","$1,758,000.00"
"5039","AR","Dallas County, Arkansas","22.2%","  1,750 ","130%","SNAP","185%","Other Nutrition Program","47.3%","24.6%","28.2%","22.9%","  430 ","66%","35%","$2.80","$878,000.00"
"5041","AR","Desha County, Arkansas","27.8%","  3,440 ","130%","SNAP","185%","Other Nutrition Program","66.0%","21.7%","12.3%","30.9%","  980 ","73%","27%","$2.82","$1,739,000.00"
"5043","AR","Drew County, Arkansas","24.2%","  4,530 ","130%","SNAP","185%","Other Nutrition Program","59.9%","13.9%","26.2%","28.6%","  1,200 ","59%","42%","$2.80","$2,276,000.00"
"5045","AR","Faulkner County, Arkansas","17.1%","  20,380 ","130%","SNAP","185%","Other Nutrition Program","48.9%","16.8%","34.3%","21.8%","  6,240 ","63%","37%","$3.05","$11,153,000.00"
